z,alpha,dalpha_dz,d2alpha_dz2,Rule1Weight,Rule2Weight,Rule3Weight,DominantRule
-0.496,0.07544143220183566,0.13913319634242793,0.2695959071818963,0.4897941847764715,0.4969795646433955,0.013226250580132848,2
-0.495,0.07558070019583023,0.13940302447854036,0.2700615746309418,0.48886074523437756,0.497841732053071,0.013297522712551656,2
-0.494,0.07572023825079274,0.13967331949168982,0.2705296686909828,0.4879272994454626,0.49870357055986003,0.013369129994677407,2
-0.493,0.07586004683481361,0.13994408381592233,0.27100020424594673,0.48699385364457093,0.4995650726661072,0.01344107368932181,2
-0.492,0.07600012641842459,0.1402153199001817,0.2714731961971082,0.48606041406687905,0.500426230870752,0.013513355062368912,2
-0.491,0.07614047747461397,0.14048703020831654,0.2719486594006252,0.48512698694773143,0.5012870376694929,0.013585975382775778,2
-0.49,0.07628110047884122,0.14075921721898296,0.27242660871616675,0.48419357852247635,0.5021474855549506,0.01365893592257304,2
-0.489,0.07642199590905194,0.14103188342574888,0.27290705898602696,0.4832601950263018,0.5030075670168329,0.013732237956865312,2
-0.488,0.07656316424569272,0.14130503133695502,0.2733900250351249,0.4823268426940705,0.5038672745420978,0.013805882763831821,2
-0.487,0.07670460597172585,0.14157866347581913,0.2738755216571962,0.48139352776015587,0.5047266006151172,0.01387987162472682,2
-0.486,0.07684632157264436,0.1418527823802694,0.27436356360432934,0.4804602564582783,0.5055855377178416,0.013954205823880142,2
-0.485,0.07698831153648639,0.1421273906030278,0.27485416568065446,0.47952703502133964,0.5064440783299631,0.01402888664869746,2
-0.484,0.07713057635385041,0.14240249071163072,0.27534734263479055,0.47859386968126016,0.507302214929079,0.01410391538966095,2
-0.483,0.07727311651790965,0.14267808528829737,0.275843109156376,0.4776607666688139,0.5081599399908564,0.014179293340329564,2
-0.482,0.07741593252442701,0.14295417692994347,0.27634147993157976,0.476727732213465,0.5090172459891956,0.014255021797339477,2
-0.481,0.07755902487176954,0.14323076824816053,0.27684246966738746,0.4757947725432025,0.5098741253963931,0.014331102060404395,2
-0.48,0.07770239406092333,0.14350786186927825,0.2773460930013958,0.4748618938843783,0.5107305706833057,0.014407535432315936,2
-0.479,0.07784604059550809,0.14378546043416332,0.2778523645295681,0.4739291024615416,0.5115865743195144,0.014484323218944033,2
-0.478,0.07798996498179166,0.14406356659833738,0.2783612988825621,0.4729964044972765,0.5124421287734865,0.014561466729237114,2
-0.477,0.07813416772870477,0.14434218303192844,0.2788729106181773,0.47206380621203753,0.51329722651274,0.014638967275222492,2
-0.476,0.07827864934785551,0.14462131241957374,0.27938721429074365,0.47113131382398643,0.5141518600040071,0.014716826172006576,2
-0.475,0.07842341035354392,0.14490095746050993,0.2799042244129577,0.47019893354882913,0.5150060217133956,0.014795044737775187,2
-0.474,0.07856845126277653,0.14518112086839965,0.2804239554246577,0.46926667159965246,0.5158597041065539,0.014873624293793764,2
-0.473,0.07871377259528071,0.14546180537135925,0.2809464218281319,0.46833453418676035,0.5167128996488322,0.01495256616440751,2
-0.472,0.07885937487351925,0.14574301371205592,0.28147163805627956,0.4674025275175124,0.5175656008054459,0.015031871677041678,2
-0.471,0.07900525862270483,0.1460247486474718,0.2819996184448556,0.46647065779615965,0.5184178000416387,0.01511154216220168,2
-0.47,0.0791514243708142,0.14630701294894563,0.2825303773885954,0.46553893122368295,0.5192694898228438,0.015191578953473285,2
-0.469,0.07929787264860272,0.146589809402249,0.28306392922672313,0.46460735399763053,0.5201206626148467,0.015271983387522706,2
-0.46799999999999997,0.0794446039896187,0.14687314080739908,0.28360028821172695,0.46367593231195586,0.5209713108839475,0.015352756804096708,2
-0.46699999999999997,0.07959161893021752,0.14715700997867245,0.2841394686238505,0.4627446723568551,0.5218214270971222,0.015433900546022755,2
-0.46599999999999997,0.07973891800957604,0.14744141974464678,0.28468148466700954,0.461813580318606,0.5226710037221849,0.01551541595920904,2
-0.46499999999999997,0.07988650176970681,0.14772637294800647,0.28522635050001716,0.4608826623794067,0.5235200332279486,0.015597304392644515,2
-0.46399999999999997,0.08003437075547205,0.1480118724456468,0.2857740803233197,0.4599519247172137,0.5243685080843874,0.015679567198398876,2
-0.46299999999999997,0.0801825255145981,0.1482979211086531,0.28632468821246343,0.4590213735055808,0.5252164207627964,0.01576220573162272,2
-0.46199999999999997,0.08033096659768936,0.14858452182207174,0.2868781881944224,0.45809101491349946,0.5260637637359532,0.01584522135054742,2
-0.46099999999999997,0.08047969455824225,0.14887167748504196,0.28743459434127344,0.4571608551052365,0.5269105294782784,0.015928615416485076,2
-0.45999999999999996,0.08062870995265944,0.1491593910107543,0.28799392062101,0.4562309002401759,0.5277567104659956,0.016012389293828484,2
-0.45899999999999996,0.08077801334026376,0.14944766532628398,0.28855618096346153,0.45530115647265706,0.528602299177292,0.016096544350051117,2
-0.45799999999999996,0.08092760528331201,0.1497365033726812,0.28912138928111036,0.4543716299518159,0.5294472880924771,0.016181081955706906,2
-0.45699999999999996,0.08107748634700912,0.1500259081048462,0.28968955939623314,0.45344232682142593,0.5302916696941439,0.016266003484430226,2
-0.45599999999999996,0.0812276570995217,0.15031588249147368,0.29026070513457597,0.452513253219738,0.5311354364673264,0.01635131031293566,2
-0.45499999999999996,0.08137811811199207,0.15060642951511535,0.29083484028372103,0.45158441527932275,0.5319785808996594,0.016437003821017947,2
-0.45399999999999996,0.08152886995855194,0.15089755217204112,0.29141197853063655,0.45065581912691094,0.5328210954815372,0.01652308539155171,2
-0.45299999999999996,0.08167991321633615,0.15118925347217663,0.29199213351718795,0.4497274708832367,0.533662972706272,0.016609556410491264,2
