y,delta,z,alpha,mu1,mu2,mu3
-1.96,-1.08,0.4010229,0.43398178,0.03367982,0.5570331,0.40928698
-1.96,-1.04,0.40329763,0.43546692,0.03335299,0.5555489,0.4110981
-1.96,-1.0,0.40556183,0.4369463,0.03303033,0.55406713,0.41290253
-1.96,-0.96,0.40781558,0.43842003,0.032711767,0.55258787,0.4147004
-1.96,-0.92,0.41005918,0.43988815,0.032397203,0.55111104,0.41649175
-1.96,-0.88,0.4122928,0.44135082,0.032086574,0.5496367,0.4182767
-1.96,-0.84,0.4145168,0.44280824,0.0317798,0.5481647,0.42005554
-1.96,-0.8,0.4167313,0.44426027,0.03147678,0.5466951,0.42182812
-1.96,-0.76,0.41893652,0.44570717,0.031177483,0.5452277,0.42359474
-1.96,-0.72,0.4211326,0.447149,0.0308818,0.54376274,0.42535543
-1.96,-0.68,0.4233197,0.44858572,0.030589692,0.54230005,0.4271102
-1.96,-0.64,0.42549795,0.45001754,0.030301072,0.5408398,0.42885917
-1.96,-0.6,0.4276676,0.45144436,0.030015921,0.53938174,0.43060237
-1.96,-0.56,0.42982864,0.45286632,0.029734144,0.53792596,0.43233985
-1.96,-0.52,0.43198135,0.45428345,0.029455692,0.53647256,0.43407172
-1.96,-0.48,0.43412578,0.45569584,0.029180508,0.5350215,0.43579802
-1.96,-0.44,0.43626198,0.4571034,0.028908549,0.53357273,0.4375187
-1.96,-0.4,0.43839014,0.45850623,0.028639762,0.53212637,0.43923384
-1.96,-0.36,0.44051024,0.45990434,0.028374096,0.53068244,0.44094342
-1.96,-0.32,0.44262254,0.46129784,0.028111516,0.52924085,0.44264764
-1.96,-0.28,0.44472694,0.4626866,0.027851962,0.5278018,0.44434628
-1.96,-0.24,0.44682363,0.4640707,0.027595403,0.52636516,0.44603947
-1.96,-0.2,0.4489126,0.46545017,0.027341766,0.524931,0.44772717
-1.96,-0.16,0.45099396,0.466825,0.027091052,0.52349955,0.44940948
-1.96,-0.12,0.45306772,0.4681952,0.026843196,0.5220705,0.45108628
-1.96,-0.08,0.455134,0.46956074,0.026598176,0.5206441,0.45275766
-1.96,-0.04,0.4571928,0.47092164,0.02635594,0.5192205,0.45442355
-1.96,0.0,0.45924413,0.47227794,0.02611645,0.5177995,0.456084
-1.96,0.04,0.4612881,0.47362962,0.025879677,0.5163813,0.45773903
-1.96,0.08,0.46332476,0.47497666,0.025645563,0.5149659,0.45938855
-1.96,0.12,0.46535408,0.47631904,0.02541412,0.51355326,0.4610326
-1.96,0.16,0.46737614,0.47765675,0.025185276,0.5121436,0.46267113
-1.96,0.2,0.46939093,0.47898984,0.024959018,0.5107368,0.46430418
-1.96,0.24,0.4713985,0.48031822,0.0247353,0.5093331,0.46593162
-1.96,0.28,0.47339883,0.48164195,0.024514113,0.5079323,0.46755356
-1.96,0.32,0.475392,0.4829609,0.024295392,0.50653464,0.46916988
-1.96,0.36,0.4773781,0.48427534,0.024079116,0.50514007,0.47078082
-1.96,0.4,0.47935688,0.4855849,0.023865286,0.5037488,0.47238597
-1.96,0.44,0.4813286,0.48688978,0.023653848,0.50236064,0.47398552
-1.96,0.48,0.48329315,0.48818985,0.02344478,0.5009758,0.4755794
-1.96,0.52,0.48525053,0.48948509,0.02323807,0.49959436,0.47716752
-1.96,0.56,0.48720077,0.4907756,0.023033662,0.4982164,0.47874996
-1.96,0.6,0.4891438,0.49206117,0.022831548,0.49684188,0.4803266
-1.96,0.64,0.4910796,0.49334183,0.02263172,0.49547094,0.48189735
-1.96,0.68,0.49300814,0.49461758,0.022434134,0.49410364,0.4834622
-1.96,0.72,0.49492946,0.49588835,0.022238776,0.4927401,0.4850211
-1.96,0.76,0.49684337,0.49715403,0.022045624,0.4913804,0.486574
-1.96,0.8,0.49874982,0.4984146,0.021854669,0.49002463,0.4881207
-1.96,0.84,0.50064886,0.49967003,0.021665886,0.48867288,0.48966125
-1.96,0.88,0.5025403,0.5009202,0.021479253,0.4873253,0.49119547
-1.96,0.92,0.504424,0.5021649,0.02129477,0.485982,0.4927232
