regime,alpha,abs_delta,abs_error,Seed,Index
2,0.40016454458236694,0.1551162749528885,0.17321598529815674,42,134
2,0.4155721962451935,0.09006127715110779,0.09037843346595764,42,135
2,0.3853732645511627,0.22218051552772522,0.10330832004547119,42,136
2,0.31927981972694397,0.0612339973449707,0.03973126411437988,42,137
2,0.3551848530769348,0.09116941690444946,0.07342827320098877,42,138
2,0.3962481617927551,0.15930721163749695,0.1253226101398468,42,139
2,0.41123318672180176,0.03808215260505676,0.029722988605499268,42,140
2,0.3884430527687073,0.060795679688453674,0.14527912437915802,42,141
2,0.33859139680862427,0.042669713497161865,0.03037053346633911,42,142
2,0.34082406759262085,0.051976799964904785,0.07751911878585815,42,143
2,0.3890587091445923,0.014066733419895172,0.04602695256471634,42,144
2,0.4117203950881958,0.08189448714256287,0.1299721598625183,42,145
2,0.4095109701156616,0.015004947781562805,0.08007559180259705,42,146
2,0.3454727828502655,0.024201035499572754,0.042571187019348145,42,147
2,0.3291015625,0.08892202377319336,0.06391024589538574,42,148
2,0.37897124886512756,0.08601218461990356,0.08752515912055969,42,149
2,0.40721046924591064,0.12430894374847412,0.16255056858062744,42,150
2,0.41149237751960754,0.05325326323509216,0.059559643268585205,42,151
2,0.3740761876106262,0.0653458833694458,0.04203289747238159,42,152
2,0.3320075571537018,0.007135868072509766,0.03514683246612549,42,153
2,0.3669824004173279,0.022834599018096924,0.014597594738006592,42,154
2,0.4033728539943695,0.09219862520694733,0.06600554287433624,42,155
2,0.40608102083206177,0.06149211525917053,0.1015520691871643,42,156
2,0.38765549659729004,0.1871018260717392,0.12087517976760864,42,157
2,0.32636338472366333,0.014821887016296387,0.019111275672912598,42,158
2,0.3542748689651489,0.05582517385482788,0.0404508113861084,42,159
2,0.39916956424713135,0.06357251107692719,0.0049690306186676025,42,160
2,0.4111390709877014,0.044789642095565796,0.08397459983825684,42,161
2,0.3979262113571167,0.17932067811489105,0.10667790472507477,42,162
2,0.3272693455219269,0.12528455257415771,0.10625040531158447,42,163
2,0.34514570236206055,0.11138498783111572,0.08838409185409546,42,164
2,0.3864898681640625,0.12863050401210785,0.08528158068656921,42,165
2,0.4065432846546173,0.1699177324771881,0.12024760246276855,42,166
2,0.4010544419288635,0.03859557956457138,0.07425442337989807,42,167
2,0.34262093901634216,0.041634976863861084,0.027021288871765137,42,168
2,0.33221670985221863,0.0360640287399292,0.05110359191894531,42,169
2,0.3734065890312195,0.010021597146987915,0.05133974552154541,42,170
2,0.40748274326324463,0.07671788334846497,0.04736265540122986,42,171
2,0.4140568971633911,0.04884982109069824,0.0360836386680603,42,172
2,0.3686251640319824,0.15213912725448608,0.09083378314971924,42,173
2,0.31810611486434937,0.022228479385375977,0.008826613426208496,42,174
2,0.3602517545223236,0.08339798450469971,0.06882184743881226,42,175
2,0.4001099467277527,0.10527792572975159,0.0327296108007431,42,176
2,0.41579848527908325,0.037842750549316406,0.08472669124603271,42,177
2,0.3917621374130249,0.08497020602226257,0.062367260456085205,42,178
2,0.32448118925094604,0.1138225793838501,0.13403260707855225,42,179
2,0.34759917855262756,0.1469932198524475,0.14812695980072021,42,180
2,0.38698381185531616,0.17301350831985474,0.08267542719841003,42,181
2,0.4116884469985962,0.1150953471660614,0.1824057400226593,42,182
2,0.39666301012039185,0.0356890894472599,0.006259281188249588,42,183
2,0.3443482518196106,0.055321455001831055,0.024205923080444336,42,184
2,0.34894418716430664,0.05296748876571655,0.05450546741485596,42,185
2,0.3851766586303711,0.0800621509552002,0.10709597170352936,42,186
0,0.32971662282943726,0.1500157117843628,0.1295076608657837,42,187
0,0.2945460379123688,0.12433910369873047,0.05226457118988037,42,188
0,0.3223952054977417,0.06352567672729492,0.09062516689300537,42,189
0,0.3632955551147461,0.0376051664352417,0.04793328046798706,42,190
0,0.3974112868309021,0.015145011246204376,0.0020628422498703003,42,191
0,0.4195405840873718,0.0017625093460083008,0.0073677897453308105,42,192
0,0.4379609525203705,0.040659427642822266,0.023680686950683594,42,193
0,0.43277931213378906,0.06463271379470825,0.0939488410949707,42,194
0,0.4023129940032959,0.07085689902305603,0.030576204881072044,42,195
0,0.32549619674682617,0.15500521659851074,0.13346576690673828,42,196
0,0.2932392656803131,0.04503130912780762,0.029436588287353516,42,197
0,0.3233502507209778,0.03381538391113281,0.01610088348388672,42,198
0,0.3676254153251648,0.07559388875961304,0.013998180627822876,42,199
0,0.46544313430786133,0.10607229173183441,0.018185585737228394,123,0
0,0.4910120368003845,0.048761069774627686,0.0506511926651001,123,1
0,0.5028595924377441,0.07132792472839355,0.08263552188873291,123,2
0,0.5013883113861084,0.05350834131240845,0.08596932888031006,123,3
0,0.46110519766807556,0.1795024871826172,0.08794847875833511,123,4
0,0.37002623081207275,0.11241400241851807,0.08404803276062012,123,5
0,0.34120094776153564,0.032245516777038574,0.14020788669586182,123,6
0,0.3590390384197235,0.16250836849212646,0.10879051685333252,123,7
0,0.4190996587276459,0.04892730712890625,0.04530048370361328,123,8
0,0.45094260573387146,0.035459328442811966,0.008593063801527023,123,9
0,0.49172618985176086,0.017340540885925293,0.1514660120010376,123,10
0,0.5052706003189087,0.0010907649993896484,0.09353423118591309,123,11
0,0.49842357635498047,0.12043201923370361,0.04982882738113403,123,12
0,0.45736163854599,0.12931205332279205,0.054296232759952545,123,13
0,0.36967238783836365,0.02609395980834961,0.009067177772521973,123,14
0,0.3445497751235962,0.01902949810028076,0.07730519771575928,123,15
0,0.3728135824203491,0.048642873764038086,0.0098799467086792,123,16
0,0.3984745144844055,0.11414659023284912,0.1296546459197998,123,17
0,0.440164715051651,0.11317196488380432,0.17557144165039062,123,18
0,0.4883020222187042,0.09410309791564941,0.012741386890411377,123,19
0,0.5044654607772827,0.01317894458770752,0.05673682689666748,123,20
0,0.5034923553466797,0.0005640983581542969,0.028236210346221924,123,21
0,0.4597885310649872,0.12285072356462479,0.02573946863412857,123,22
0,0.37014544010162354,0.0493617057800293,0.0058634281158447266,123,23
0,0.3531930446624756,0.04884672164916992,0.11712014675140381,123,24
0,0.3620781898498535,0.10663235187530518,0.04102778434753418,123,25
0,0.40147581696510315,0.07436424493789673,0.09287214279174805,123,26
0,0.4450146555900574,0.030721545219421387,0.024203792214393616,123,27
0,0.4921692907810211,0.0958395004272461,0.20001858472824097,123,28
0,0.5012434720993042,0.08499479293823242,0.16158431768417358,123,29
0,0.5011910200119019,0.057460010051727295,0.007919132709503174,123,30
0,0.4788967967033386,0.1197090595960617,0.07535569369792938,123,31
0,0.3904586434364319,0.17460507154464722,0.08490955829620361,123,32
0,0.35363224148750305,0.09717929363250732,0.14951705932617188,123,33
0,0.3565691113471985,0.145896315574646,0.09608793258666992,123,34
0,0.38785529136657715,0.1297261118888855,0.1159142255783081,123,35
0,0.456165611743927,0.09060630202293396,0.03396251052618027,123,36
0,0.4862423241138458,0.03277146816253662,0.07736486196517944,123,37
0,0.5032849907875061,0.05422431230545044,0.13484692573547363,123,38
0,0.5053191184997559,0.048528313636779785,0.014731168746948242,123,39
0,0.4825151562690735,0.04526761174201965,0.028056353330612183,123,40
0,0.40289780497550964,0.11048024892807007,0.02001368999481201,123,41
0,0.3487860858440399,0.02437746524810791,0.08829712867736816,123,42
0,0.35088402032852173,0.02451944351196289,0.10164511203765869,123,43
0,0.3829977512359619,0.029574275016784668,0.03389120101928711,123,44
0,0.4459679424762726,0.020142674446105957,0.03566945344209671,123,45
0,0.4878738820552826,0.03757351636886597,0.1291295289993286,123,46
0,0.4957531988620758,0.014700114727020264,0.01709645986557007,123,47
0,0.5055155754089355,0.10689342021942139,0.09602689743041992,123,48
0,0.4934113025665283,0.07493990659713745,0.02746593952178955,123,49
0,0.4010034203529358,0.14385449886322021,0.08001989126205444,123,50
0,0.3544832468032837,0.06732070446014404,0.00766301155090332,123,51
0,0.3666406273841858,0.04466259479522705,0.07512187957763672,123,52
0,0.3900524973869324,0.07005447149276733,0.02286595106124878,123,53
0,0.43365299701690674,0.05576275289058685,0.012944117188453674,123,54
0,0.48082801699638367,0.08828866481781006,0.0534176230430603,123,55
0,0.49672749638557434,0.11482137441635132,0.09231901168823242,123,56
0,0.5034248232841492,0.054404377937316895,0.019672274589538574,123,57
0,0.49811094999313354,0.10356009006500244,0.05562150478363037,123,58
1,0.37776631116867065,0.021226048469543457,0.0821843147277832,123,59
1,0.48978862166404724,0.21348100900650024,0.005423128604888916,123,60
1,0.5074509382247925,0.042353153228759766,0.1279289722442627,123,61
1,0.386296808719635,0.14507722854614258,0.06643235683441162,123,62
1,0.4799176752567291,0.2294880449771881,0.05351841449737549,123,63
1,0.5073960423469543,0.19507241249084473,0.20320594310760498,123,64
1,0.40153664350509644,0.2755848169326782,0.0013245344161987305,123,65
1,0.46229296922683716,0.10279503464698792,0.04142187535762787,123,66
1,0.5056576132774353,0.10372161865234375,0.0642862319946289,123,67
1,0.46677279472351074,0.48542696237564087,0.05651658773422241,123,68
1,0.4465230405330658,0.24512100219726562,0.11600977927446365,123,69
1,0.5094010233879089,0.04443621635437012,0.00924980640411377,123,70
1,0.47897106409072876,0.4802948832511902,0.11068927496671677,123,71
1,0.4234759211540222,0.19325219094753265,0.06764568388462067,123,72
1,0.5081866979598999,0.15209448337554932,0.030394911766052246,123,73
1,0.5116521120071411,0.2633540630340576,0.009062051773071289,123,74
1,0.3981621265411377,0.15557366609573364,0.1053915023803711,123,75
1,0.5057884454727173,0.18998372554779053,0.05632364749908447,123,76
1,0.5108535289764404,0.21364867687225342,0.09771394729614258,123,77
1,0.38774633407592773,0.13881802558898926,0.10016024112701416,123,78
1,0.5056583285331726,0.11585783958435059,0.023313045501708984,123,79
1,0.5082300305366516,0.08198201656341553,0.07534444332122803,123,80
1,0.38233959674835205,0.03627574443817139,0.026178359985351562,123,81
1,0.49585792422294617,0.1502131223678589,0.02918100357055664,123,82
1,0.5095375180244446,0.003437042236328125,0.07056725025177002,123,83
1,0.37369340658187866,0.10699057579040527,0.16558611392974854,123,84
1,0.4933406114578247,0.10864335298538208,0.06890267133712769,123,85
1,0.506699800491333,0.14885258674621582,0.20724940299987793,123,86
1,0.3996432423591614,0.16039615869522095,0.10149240493774414,123,87
1,0.4795290529727936,0.2255021035671234,0.1252778172492981,123,88
1,0.5073462128639221,0.038001179695129395,0.03744959831237793,123,89
1,0.38806581497192383,0.20730721950531006,0.03373229503631592,123,90
1,0.4620906114578247,0.07463335990905762,0.14980804920196533,123,91
1,0.508887767791748,0.1241525411605835,0.10711956024169922,123,92
1,0.47052913904190063,0.5135746002197266,0.11724945902824402,123,93
1,0.441561222076416,0.12034869939088821,0.04749494045972824,123,94
1,0.5079572200775146,0.17579436302185059,0.08067047595977783,123,95
1,0.5084137916564941,0.4002133011817932,0.15283125638961792,123,96
1,0.42830440402030945,0.20378780364990234,0.1070372462272644,123,97
1,0.5076282024383545,0.1128687858581543,0.009856820106506348,123,98
1,0.5124942660331726,0.45685696601867676,0.2959284782409668,123,99
1,0.4035166800022125,0.06185197830200195,0.015578627586364746,123,100
1,0.5070099830627441,0.21596205234527588,0.1265869140625,123,101
1,0.5071236491203308,0.1607152223587036,0.07368671894073486,123,102
1,0.3966726064682007,0.03759044408798218,0.020549893379211426,123,103
