model,seed,step,max_abs_jacobian_difference,analytic_spectral_norm,autograd_spectral_norm,spectral_difference
C_fuzzy_contractive,42,9129,7.450580596923828e-09,0.741269588470459,0.7412697076797485,1.1920928955078125e-07
C_fuzzy_contractive,42,9564,1.4901161193847656e-08,0.6927460432052612,0.6927469372749329,8.940696716308594e-07
C_fuzzy_contractive,42,9999,1.4901161193847656e-08,0.7280733585357666,0.7280725240707397,8.344650268554688e-07
D_fuzzy_unconstrained,42,0,2.9802322387695312e-08,1.2377790212631226,1.2377749681472778,4.0531158447265625e-06
D_fuzzy_unconstrained,42,434,2.9802322387695312e-08,1.0870671272277832,1.0870585441589355,8.58306884765625e-06
D_fuzzy_unconstrained,42,869,2.9802322387695312e-08,1.0733360052108765,1.0733387470245361,2.7418136596679688e-06
D_fuzzy_unconstrained,42,1304,2.9802322387695312e-08,1.0905317068099976,1.0905300378799438,1.6689300537109375e-06
D_fuzzy_unconstrained,42,1738,4.470348358154297e-08,1.0648354291915894,1.0648356676101685,2.384185791015625e-07
D_fuzzy_unconstrained,42,2173,2.9802322387695312e-08,1.1178576946258545,1.1178538799285889,3.814697265625e-06
D_fuzzy_unconstrained,42,2608,2.9802322387695312e-08,1.0592834949493408,1.0592844486236572,9.5367431640625e-07
D_fuzzy_unconstrained,42,3043,2.9802322387695312e-08,1.087504506111145,1.0875014066696167,3.0994415283203125e-06
D_fuzzy_unconstrained,42,3477,5.960464477539063e-08,1.0482946634292603,1.048295497894287,8.344650268554688e-07
D_fuzzy_unconstrained,42,3912,2.9802322387695312e-08,1.0945125818252563,1.094515323638916,2.7418136596679688e-06
D_fuzzy_unconstrained,42,4347,2.9802322387695312e-08,1.062368631362915,1.0623650550842285,3.5762786865234375e-06
D_fuzzy_unconstrained,42,4782,2.9802322387695312e-08,1.0981049537658691,1.0981005430221558,4.410743713378906e-06
D_fuzzy_unconstrained,42,5216,2.9802322387695312e-08,1.1231321096420288,1.1231344938278198,2.384185791015625e-06
D_fuzzy_unconstrained,42,5651,2.9802322387695312e-08,1.122198224067688,1.1221966743469238,1.5497207641601562e-06
D_fuzzy_unconstrained,42,6086,2.9802322387695312e-08,1.0465978384017944,1.0465967655181885,1.0728836059570312e-06
D_fuzzy_unconstrained,42,6521,2.9802322387695312e-08,1.0900272130966187,1.0900264978408813,7.152557373046875e-07
D_fuzzy_unconstrained,42,6955,2.9802322387695312e-08,1.0630161762237549,1.063014268875122,1.9073486328125e-06
D_fuzzy_unconstrained,42,7390,2.9802322387695312e-08,1.0983946323394775,1.0983957052230835,1.0728836059570312e-06
D_fuzzy_unconstrained,42,7825,2.9802322387695312e-08,1.0800304412841797,1.0800286531448364,1.7881393432617188e-06
D_fuzzy_unconstrained,42,8260,2.9802322387695312e-08,1.0834894180297852,1.0834888219833374,5.960464477539062e-07
D_fuzzy_unconstrained,42,8694,2.9802322387695312e-08,1.099012851715088,1.0990073680877686,5.4836273193359375e-06
D_fuzzy_unconstrained,42,9129,2.9802322387695312e-08,1.1121608018875122,1.112160325050354,4.76837158203125e-07
D_fuzzy_unconstrained,42,9564,2.9802322387695312e-08,1.0915868282318115,1.0915852785110474,1.5497207641601562e-06
D_fuzzy_unconstrained,42,9999,2.9802322387695312e-08,1.0901070833206177,1.0901128053665161,5.7220458984375e-06
C_fuzzy_contractive,123,0,1.4901161193847656e-08,0.7461869120597839,0.7461873888969421,4.76837158203125e-07
C_fuzzy_contractive,123,434,7.450580596923828e-09,0.7415527701377869,0.7415519952774048,7.748603820800781e-07
C_fuzzy_contractive,123,869,1.4901161193847656e-08,0.7452376484870911,0.7452365159988403,1.1324882507324219e-06
C_fuzzy_contractive,123,1304,7.450580596923828e-09,0.7107053399085999,0.7107083201408386,2.9802322387695312e-06
C_fuzzy_contractive,123,1738,1.4901161193847656e-08,0.6977086067199707,0.6977107524871826,2.1457672119140625e-06
