Model,Seed,step,max_abs_jacobian_difference,analytic_spectral_norm,autograd_spectral_norm,spectral_difference
C_fuzzy_contractive,123,5651,3.725290298461914e-09,0.5548623204231262,0.5548633337020874,1.0132789611816406e-06
C_fuzzy_contractive,123,6086,3.725290298461914e-09,0.5520129203796387,0.5520145893096924,1.6689300537109375e-06
C_fuzzy_contractive,123,6521,5.960464477539063e-08,0.6065288186073303,0.6065280437469482,7.748603820800781e-07
C_fuzzy_contractive,123,6955,1.862645149230957e-09,0.6594117283821106,0.6594114899635315,2.384185791015625e-07
C_fuzzy_contractive,123,7390,1.862645149230957e-09,0.5753462314605713,0.5753454566001892,7.748603820800781e-07
C_fuzzy_contractive,123,7825,1.862645149230957e-09,0.6409014463424683,0.6409027576446533,1.3113021850585938e-06
C_fuzzy_contractive,123,8260,1.862645149230957e-09,0.6630744934082031,0.6630746722221375,1.7881393432617188e-07
C_fuzzy_contractive,123,8694,5.960464477539063e-08,0.6600139737129211,0.6600169539451599,2.9802322387695312e-06
C_fuzzy_contractive,123,9129,1.862645149230957e-09,0.6006554365158081,0.6006548404693604,5.960464477539062e-07
C_fuzzy_contractive,123,9564,1.862645149230957e-09,0.6059256196022034,0.6059264540672302,8.344650268554688e-07
C_fuzzy_contractive,123,9999,1.862645149230957e-09,0.6277639865875244,0.6277590394020081,4.947185516357422e-06
D_fuzzy_unconstrained,123,0,2.9802322387695312e-08,1.1219658851623535,1.121964454650879,1.430511474609375e-06
D_fuzzy_unconstrained,123,434,2.9802322387695312e-08,1.032354474067688,1.0323538780212402,5.960464477539062e-07
D_fuzzy_unconstrained,123,869,1.4901161193847656e-08,1.0575637817382812,1.0575617551803589,2.0265579223632812e-06
D_fuzzy_unconstrained,123,1304,1.4901161193847656e-08,1.053485631942749,1.0534883737564087,2.7418136596679688e-06
D_fuzzy_unconstrained,123,1738,1.4901161193847656e-08,1.0532631874084473,1.05326509475708,1.9073486328125e-06
D_fuzzy_unconstrained,123,2173,5.960464477539063e-08,1.119346022605896,1.1193441152572632,1.9073486328125e-06
D_fuzzy_unconstrained,123,2608,5.960464477539063e-08,1.034224510192871,1.0342258214950562,1.3113021850585938e-06
D_fuzzy_unconstrained,123,3043,5.960464477539063e-08,1.1136168241500854,1.113618016242981,1.1920928955078125e-06
D_fuzzy_unconstrained,123,3477,1.4901161193847656e-08,1.0308170318603516,1.0308171510696411,1.1920928955078125e-07
D_fuzzy_unconstrained,123,3912,5.960464477539063e-08,1.0554661750793457,1.0554667711257935,5.960464477539062e-07
D_fuzzy_unconstrained,123,4347,5.960464477539063e-08,1.1159050464630127,1.1159045696258545,4.76837158203125e-07
D_fuzzy_unconstrained,123,4782,1.4901161193847656e-08,1.059558391571045,1.0595606565475464,2.2649765014648438e-06
D_fuzzy_unconstrained,123,5216,5.960464477539063e-08,1.1139663457870483,1.1139637231826782,2.6226043701171875e-06
D_fuzzy_unconstrained,123,5651,2.9802322387695312e-08,1.0876719951629639,1.0876706838607788,1.3113021850585938e-06
D_fuzzy_unconstrained,123,6086,2.9802322387695312e-08,1.071964979171753,1.0719637870788574,1.1920928955078125e-06
D_fuzzy_unconstrained,123,6521,1.4901161193847656e-08,1.0848466157913208,1.084848403930664,1.7881393432617188e-06
D_fuzzy_unconstrained,123,6955,5.960464477539063e-08,1.0254697799682617,1.0254684686660767,1.3113021850585938e-06
D_fuzzy_unconstrained,123,7390,1.4901161193847656e-08,1.1130098104476929,1.1130083799362183,1.430511474609375e-06
D_fuzzy_unconstrained,123,7825,5.960464477539063e-08,1.0643558502197266,1.0643593072891235,3.4570693969726562e-06
D_fuzzy_unconstrained,123,8260,2.9802322387695312e-08,1.0218056440353394,1.0218077898025513,2.1457672119140625e-06
D_fuzzy_unconstrained,123,8694,5.960464477539063e-08,1.0238054990768433,1.0238041877746582,1.3113021850585938e-06
D_fuzzy_unconstrained,123,9129,5.960464477539063e-08,1.060800313949585,1.0607959032058716,4.410743713378906e-06
D_fuzzy_unconstrained,123,9564,5.960464477539063e-08,1.047178864479065,1.047179937362671,1.0728836059570312e-06
D_fuzzy_unconstrained,123,9999,1.4901161193847656e-08,1.062562108039856,1.0625628232955933,7.152557373046875e-07
C_fuzzy_contractive,456,0,1.862645149230957e-09,0.7078403830528259,0.7078408002853394,4.172325134277344e-07
C_fuzzy_contractive,456,434,1.862645149230957e-09,0.6305996775627136,0.6306037306785583,4.0531158447265625e-06
C_fuzzy_contractive,456,869,1.862645149230957e-09,0.6315420866012573,0.6315408945083618,1.1920928955078125e-06
